Station	Stream URL	City	Genres separated by comma	Timezone
FIP autour du groove	http://direct.fipradio.fr/live/fip-webradio3.mp3	Paris	"Funk, Soul, Groove, R&B"	Europe/Paris
FIP Sacré français !	https://icecast.radiofrance.fr/fipsacrefrancais-midfi.mp3	Paris	"French Chanson, French Pop"	Europe/Paris
"Tout nouveau, tout FIP"	http://direct.fipradio.fr/live/fip-webradio5.mp3	Paris	"New Releases, Eclectic"	Europe/Paris
FIP autour de l’électro	http://direct.fipradio.fr/live/fip-webradio8.mp3	Paris	"Electronic, Electro"	Europe/Paris
KUVO Jazz	https://kuvo-ice.streamguys1.com/kuvo-mp3-128	Denver	"Jazz, Blues, Latin Jazz, Soul, Public Radio"	America/Denver
KCSM Jazz 91.1	https://ice7.securenetsystems.net/KCSM2	"San Mateo, CA"	"Jazz, Bebop, Big Band, Latin Jazz, Blues"	America/Los_Angeles
RNZ Concert	http://radionz.co.nz/Concert_aac128	Wellington	"Classical, Contemporary Classical, Opera, Jazz, Arts News"	Pacific/Auckland
WFMU	http://wfmu.org/wfmu.pls	Jersey City	"Freeform, Experimental, Garage Rock, Noise, Outsider Music, Eclectic"	America/New_York
WFMU's Ubu	http://wfmu.org/wfmu_ubu.pls	Jersey City	"Avant-Garde, Experimental, Sound Art, Noise"	America/New_York
WFMU's Sheena's Jungle Room	http://stream0.wfmu.org/sheena	Jersey City	"Exotica, Lounge, Surf, Garage, Psych"	America/New_York
WFMU's Rock'n'Soul Radio	http://relay2.wfmu.org:80/rocknsoul-live.mp3	Jersey City	"Rock 'n' Soul, Garage, R&B, Oldies"	America/New_York
NTS Sweat	https://stream-mixtape-geo.ntslive.net/mixtape24	London	"Club, Baile Funk, Reggaeton, Dance"	Europe/London
NTS Low Key	https://stream-mixtape-geo.ntslive.net/mixtape2	London	"Lo-Fi Hip Hop, R&B, Ambient"	Europe/London
NTS Radio 1	https://stream-relay-geo.ntslive.net/stream	London	"Eclectic, Underground, Electronic, Hip Hop"	Europe/London
NTS Radio 2	https://stream-relay-geo.ntslive.net/stream2	London	"Eclectic, Underground"	Europe/London
NTS Poolside	https://stream-mixtape-geo.ntslive.net/mixtape4	London	"Balearic, Boogie, Sophisti-Pop"	Europe/London
NTS Feelings	https://stream-mixtape-geo.ntslive.net/mixtape27	London	"Sweet Soul, Gospel, Boogie"	Europe/London
NTS The Tube	https://stream-mixtape-geo.ntslive.net/mixtape26	London	"Post-Punk, Industrial, Minimal Wave"	Europe/London
NTS Rap House	https://stream-mixtape-geo.ntslive.net/mixtape22	London	"Rap, Hip Hop, Trap"	Europe/London
NTS Slow Focus	https://stream-mixtape-geo.ntslive.net/mixtape	London	"Ambient, Drone"	Europe/London
NTS Expansions	https://stream-mixtape-geo.ntslive.net/mixtape3	London	"Jazz, Fusion, Spiritual Jazz"	Europe/London
NTS Island Time	https://stream-mixtape-geo.ntslive.net/mixtape21	London	"Reggae, Dub, Dancehall"	Europe/London
NTS Memory Lane	https://stream-mixtape-geo.ntslive.net/mixtape6	London	"Psychedelic, Folk, Oldies"	Europe/London
NTS 4 To The Floor	https://stream-mixtape-geo.ntslive.net/mixtape5	London	"House, Techno"	Europe/London
NTS Field Recordings	https://stream-mixtape-geo.ntslive.net/mixtape23	London	"Field Recordings, Ambient"	Europe/London
dublab	https://dublab.out.airtime.pro/dublab_a	Los Angeles	"Future Roots, Ambient, Experimental, Psych, Electronic, Indie"	America/Los_Angeles
dublab DE	http://dublabde.out.airtime.pro:8000/dublabde_a	Cologne	"Electronic, Ambient, Experimental, Jazz, Krautrock"	Europe/Berlin
Resonance FM	https://stream.resonance.fm/resonance	London	"Sound Art, Experimental, Community, Avant-Garde, Spoken Word, Field Recordings"	Europe/London
KFJC	http://netcast.kfjc.org/	Los Altos Hills	"Psychedelic, Surf, Experimental, Noise, Lo-Fi, Drone, Metal"	America/Los_Angeles
WZBC	http://amber.streamguys.com:4860	"Newton, MA"	"No Commercial Potential, Modern Rock, Experimental, Noise, Industrial"	America/New_York
WXYC	http://audio-mp3.ibiblio.org/wxyc.mp3	Chapel Hill	"Freeform, Indie Rock, Hip Hop, Electronic, Cyclic"	America/New_York
Kiosk Radio	https://kioskradio.stream.laut.fm/kioskradio	Brussels	"Eclectic, Electronic, DJ Sets, Community, World, House, Disco"	Europe/Brussels
Noods Radio	https://noodsradio.out.airtime.pro/noodsradio_a	Bristol	"Underground, Electronic, Post-Punk, Industrial, Techno, Ambient"	Europe/London
Refuge Worldwide	https://streaming.radio.co/s3699c5e49/listen	Berlin	"Community, Electronic, Social Issues, Talk, Global Club, Ambient"	Europe/Berlin
WBEZ	https://stream.wbez.org/wbez128.mp3	Chicago	"NPR News, Talk, Storytelling"	America/Chicago
"New Sounds - WQXR-HD2	"	https://q2stream.wqxr.org/q2	New York	"New Music, Contemporary Classical, World, Electronic"	America/New_York
WNYC-FM	https://fm939.wnyc.org/wnycfm	New York	"Public Radio, News, Talk, Cultural Programming"	America/New_York
93.9 HD2 | WQXR-FM - WNYC-HD2 (Classical)	https://stream.wqxr.org/wqxr	New York	"Classical, Opera, Symphonic"	America/New_York
WNYC's New Standards	https://tjc.wnyc.org/js-stream	New York	"American Songbook, Jazz, Vocal Jazz, Pop Standards"	America/New_York
